author_id,type,titre,annee,venue_raw,auteurs,rank
13,conference,Configuring the IEEE 802.1Q Time-Aware Shaper with Deep Reinforcement Learning.,2024,NOMS,Adrien Roberty | Quentin Besnard | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,B
13,conference,Reinforcement Learning for Time-Aware Shaping (IEEE 802.1Qbv) in Time-Sensitive Networks.,2023,ETFA,Adrien Roberty | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,TBR
10,journal,A temporal dependency preserving approach for anomaly detection on multivariate time series.,2025,World Wide Web (WWW),Seif-Eddine Benkabou | Khalid Benabdeslem | Dou El Kefel Mansouri | Souleyman Chaib | Amin Mesmoudi | Allel Hadjali,NC
10,journal,SemPart: Yet another RDF data partitioning strategy.,2025,World Wide Web (WWW),Boumediene Saidi | Houcine Matallah | Amin Mesmoudi | Ladjel Bellatreche,NC
10,journal,Bridging machine learning and query optimization: Feedback-driven selectivity estimation for spatial filters.,2025,World Wide Web (WWW),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Ahmed Youcef Benhalima,NC
10,conference,Selectivity Estimation for Spatial Filters Using Optimizer Feedback: A Machine Learning Perspective.,2024,WISE (4),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali,B
10,journal,SRDF_QDAG: An efficient end-to-end RDF data management when graph exploration meets spatial processing.,2023,Comput. Sci. Inf. Syst.,Houssameddine Yousfi | Amin Mesmoudi | Allel Hadjali | Houcine Matallah | Seif-Eddine Benkabou,NC
10,journal,CoSP: co-selection pick for a global explainability of black box machine learning models.,2023,World Wide Web (WWW),Dou El Kefel Mansouri | Seif-Eddine Benkabou | Khoula Meddahi | Allel Hadjali | Amin Mesmoudi | Khalid Benabdeslem | Souleyman Chaib,NC
10,conference,Towards a Co-selection Approach for a Global Explainability of Black Box Machine Learning Models.,2022,WISE,Khoula Meddahi | Seif-Eddine Benkabou | Allel Hadjali | Amin Mesmoudi | Dou El Kefel Mansouri | Khalid Benabdeslem | Souleyman Chaib,B
10,conference,RDF_QDAG in Action: Efficient RDF Data Querying at Scale.,2022,WISE,Boumediene Saidi | Houssameddine Yousfi | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Houcine Matallah,B
10,journal,GoFast: Graph-based optimization for efficient and scalable query evaluation.,2021,Inf. Syst.,Ishaq Zouaghi | Amin Mesmoudi | Jorge Galicia | Ladjel Bellatreche | Taoufik Aguili,NC
10,journal,Combining Graph Exploration and Fragmentation for Scalable RDF Query Processing.,2021,Inf. Syst. Frontiers,Abdallah Khelil | Amin Mesmoudi | Jorge Galicia | Ladjel Bellatreche | Mohand-Saïd Hacid | Emmanuel Coquery,NC
2,journal,Advances on data management systems.,2025,Inf. Syst.,Ladjel Bellatreche | Marlon Dumas | Panagiotis Karras | Raimundas Matulevicius | Silvia Chiusano | Tania Cerquitelli | Robert Wrembel,NC
2,journal,Advances in databases and information systems - Selected papers from ADBIS 2023.,2025,Inf. Syst.,Alberto Abelló | Ladjel Bellatreche | Oscar Romero 0001 | Panos Vassiliadis | Robert Wrembel,NC
2,journal,GUITARES: graph attention network for building knowledge graph-based trust-aware recommender systems.,2025,J. Supercomput.,Ouissem Touameur | Fouzi Harrag | Ladjel Bellatreche,NC
2,journal,BioGITOM: Matching Biomedical Ontologies with Graph Isomorphism Transformer.,2025,VLDB J.,Samira Oulefki | Lamia Berkani | Nassim Boudjenah | Ladjel Bellatreche | Aïcha Mokhtari,NC
2,journal,SemPart: Yet another RDF data partitioning strategy.,2025,World Wide Web (WWW),Boumediene Saidi | Houcine Matallah | Amin Mesmoudi | Ladjel Bellatreche,NC
2,conference,ICE-Cubed: Inpainting of Cinematographic Elements for Intelligent Context Expansion.,2025,ACIVS,David Traparic | Maugan De Murcia | Mohamed-Chaker Larabi | Ladjel Bellatreche,B
2,conference,PAID: Power-Efficient AI-Optimized Databases.,2025,DaWaK,Ayoub Bouhatous | Ladjel Bellatreche | El Hassan Abdelwahed | Carlos Ordonez 0001,B
2,conference,Accelerating Python Code with Parallel I/O.,2025,DEXA (2),Robin Varghese | Hashirul Quadir | Ladjel Bellatreche | Carlos Ordonez 0001,C
2,conference,Enriching Spatial Indexes For User-Centric And Context-Aware Points Of Interest Search.,2025,SSDBM,Raghav Mittal | Ayaan Kakkar | Mukesh K. Mohania | Ladjel Bellatreche | Yoshiharu Ishikawa,B
2,journal,Data engineering and modeling for artificial intelligence.,2024,Data Knowl. Eng.,Carlos Ordonez 0001 | Wojciech Macyna | Ladjel Bellatreche,NC
2,journal,Balanced parallel triangle enumeration with an adaptive algorithm.,2024,Distributed Parallel Databases,Abir Farouzi | Xiantian Zhou | Ladjel Bellatreche | Mimoun Malki | Carlos Ordonez 0001,NC
2,conference,Exploring Explainability in Arabic Language Models: An Empirical Analysis of Techniques.,2024,ACLING,Yousra Chahinez Hadj Azzem | Fouzi Harrag | Ladjel Bellatreche,none
2,conference,Energy-Aware Analytics in the Cloud.,2024,BiDEDE@SIGMOD,Carlos Ordonez 0001 | Wojciech Macyna | Ladjel Bellatreche,none
2,conference,Trust-Aware Disaster Image Classification using Monte Carlo Dropout Integrated with Graph Convolutional Networks and Deep Feature Extraction.,2024,ICT-DM,Ouissem Touameur | Fouzi Harrag | Ladjel Bellatreche,none
2,conference,Results for BioGITOM in OAEI 2024.,2024,OM@ISWC,Samira Oulefki | Lamia Berkani | Ladjel Bellatreche | Nassim Boudjenah | Aïcha Mokhtari,none
2,conference,Evaluating Contrastive and Non-contrastive Explanations for Language Models.,2024,WISE (2),Yousra Chahinez Hadj Azzem | Fouzi Harrag | Ladjel Bellatreche,B
2,conference,Concepts and Relations Features Are All You Need for Embedding-Based Ontology Matching.,2024,WISE (1),Samira Oulefki | Lamia Berkani | Nassim Boudjenah | Ladjel Bellatreche | Aïcha Mokhtari,B
2,journal,Guest editorial - Management of digital ecosystems.,2023,Comput. Sci. Inf. Syst.,Djamal Benslimane | Zakaria Maamar | Ladjel Bellatreche,NC
2,journal,A theme section on the central role of modeling in designing and explaining data-driven systems and software.,2023,Softw. Syst. Model.,J. Christian Attiogbé | Sadok Ben Yahia | Ladjel Bellatreche,NC
2,conference,ExplainerX: An Integrated and Explainable AI Framework for Nearly Zero-Energy Buildings.,2023,IEEE Big Data,Asma Kermiche | Chaima Rouzzi | Ladjel Bellatreche,B
2,conference,Optimization of Dangerous Goods Stowage: A Hybrid Approach between Faster R-CNN and Coronavirus Metaheuristic.,2023,IEEE Big Data,Chaabane Abdelali | Yachba Khadidja | Ladjel Bellatreche,B
2,conference,Energy-Aware Query Processing: A Case Study on Join Reordering.,2023,IEEE Big Data,Ladjel Bellatreche | Fouad Djellali | Wojciech Macyna | Carlos Ordonez 0001,B
2,conference,FLOWER: Viewing Data Flow in ER Diagrams.,2023,DaWaK,Elijah Mitchell | Nabila Berkani | Ladjel Bellatreche | Carlos Ordonez 0001,B
2,conference,Bitwise Algorithms to Compute the Transitive Closure of Graphs in Python.,2023,DEXA (1),Xiantian Zhou | Abir Farouzi | Ladjel Bellatreche | Carlos Ordonez 0001,C
2,conference,Parallel Pattern Enumeration in Large Graphs.,2023,DEXA (1),Abir Farouzi | Xiantian Zhou | Ladjel Bellatreche | Mimoun Malki | Carlos Ordonez 0001,C
2,conference,Context-aware Service Recommendation based on Knowledge Graph Embedding (Extended Abstract).,2023,ICDE,Haithem Mezni | Djamal Benslimane | Ladjel Bellatreche,A*
2,conference,Towards Automatic Content Generation for Immersive Cinema Theater Based on Artificial Intelligence.,2023,MMSP,David Traparic | Mohamed-Chaker Larabi | Ladjel Bellatreche,C
2,journal,"Special issue on advances in data, information and knowledge engineering in data science era.",2022,Computing,Ladjel Bellatreche | A Min Tjoa,NC
2,journal,Guest editorial - applications of intelligent systems.,2022,Comput. Sci. Inf. Syst.,Amelia Badica | Costin Badica | Vladimir Kurbalija | Ladjel Bellatreche | Mirjana Ivanovic,NC
2,journal,ProRes: Proactive re-selection of materialized views.,2022,Comput. Sci. Inf. Syst.,Mustapha Chaba Mouna | Ladjel Bellatreche | Boustia Narhimene,NC
2,journal,Advances on innovative issues in intelligent systems and applications.,2022,Concurr. Comput. Pract. Exp.,Tulay Yildirim | Mirjana Ivanovic | Ladjel Bellatreche,NC
2,journal,PROADAPT: Proactive framework for adaptive partitioning for big data warehouses.,2022,Data Knowl. Eng.,Soumia Benkrid | Ladjel Bellatreche | Yacine Mestoui | Carlos Ordonez 0001,NC
2,journal,ZigZag+: A global optimization algorithm to solve the view selection problem for large-scale workload optimization.,2022,Eng. Appl. Artif. Intell.,Mohamed Kechar | Ladjel Bellatreche | Safia Nait Bahloul,NC
2,journal,The central role of data repositories and data models in Data Science and Advanced Analytics.,2022,Future Gener. Comput. Syst.,Ladjel Bellatreche | Carlos Ordonez 0001 | Dominique Méry | Matteo Golfarelli | El Hassan Abdelwahed,NC
2,journal,Data processing in modern distributed architectures.,2022,Inf. Syst.,Jérôme Darmont | Boris Novikov 0001 | Robert Wrembel | Ladjel Bellatreche,NC
2,journal,Advances on Data Management and Information Systems.,2022,Inf. Syst. Frontiers,Jérôme Darmont | Boris Novikov 0001 | Robert Wrembel | Ladjel Bellatreche,NC
2,journal,Named entity disambiguation in short texts over knowledge graphs.,2022,Knowl. Inf. Syst.,Wissem Bouarroudj | Zizette Boufaïda 0001 | Ladjel Bellatreche,NC
2,journal,Context-Aware Service Recommendation Based on Knowledge Graph Embedding.,2022,IEEE Trans. Knowl. Data Eng.,Haithem Mezni | Djamal Benslimane | Ladjel Bellatreche,NC
2,conference,Comparing Association Rules and Deep Neural Networks for Heart Disease Prediction.,2022,IEEE Big Data,Carlos Ordonez 0001 | Ian Fund | Ladjel Bellatreche,B
2,conference,The Impact of Multicore CPUs on Eco-Friendly Query Processors in Big Data Warehouses.,2022,IEEE Big Data,Ayoub Bouhatous | Ladjel Bellatreche | El Hassan Abdelwahed | Carlos Ordonez 0001,B
2,conference,AI Approaches for Electricity Price Forecasting in Stable/Unstable Markets: EU Improvement Project.,2022,IEEE Big Data,Florian Chauvet | Ladjel Bellatreche | Carlos Augusto Santos Silva,B
2,conference,GALGO: Scalable Graph Analytics with a Parallel DBMS.,2022,CIKM,Wellington Cabrera | Xiantian Zhou | Ladjel Bellatreche | Carlos Ordonez 0001,A
2,conference,Safeness: Suffix Arrays Driven Materialized View Selection Framework for Large-Scale Workloads.,2022,DaWaK,Mohamed Kechar | Ladjel Bellatreche,B
2,conference,Data-Driven Solutions for Electricity Price Forecasting: The Case of EU Improvement Project.,2022,SADASC,Khadija Elmoukhtafi | Ladjel Bellatreche | Mohamed Hamlich | Carlos Augusto Santos Silva,none
2,journal,Towards understanding and harnessing the potential of Africa in digitalization.,2021,Concurr. Comput. Pract. Exp.,Soumia Benkrid | Rim Moussa | Hassan Badir | Moussa Lo | Ladjel Bellatreche,NC
2,journal,GoFast: Graph-based optimization for efficient and scalable query evaluation.,2021,Inf. Syst.,Ishaq Zouaghi | Amin Mesmoudi | Jorge Galicia | Ladjel Bellatreche | Taoufik Aguili,NC
2,journal,Combining Graph Exploration and Fragmentation for Scalable RDF Query Processing.,2021,Inf. Syst. Frontiers,Abdallah Khelil | Amin Mesmoudi | Jorge Galicia | Ladjel Bellatreche | Mohand-Saïd Hacid | Emmanuel Coquery,NC
2,journal,Special Issue on Smart Applications and Data Analysis for Smart Cyber-Physical Systems.,2021,J. Syst. Archit.,Mohamed Hamlich | Ladjel Bellatreche | Anirban Mondal | Carlos Ordonez 0001,NC
2,journal,Service-enabled systems and applications: current and future trends.,2021,Serv. Oriented Comput. Appl.,Karim Benouaret | Patrick C. K. Hung | Ladjel Bellatreche,NC
2,journal,Correction to: On Formal Modeling and Validation of Wireless Sensor Network Protocols.,2021,Wirel. Pers. Commun.,Rachid Bechar | Mounir Tahar Abbes | Freha Mezzoudj | Ladjel Bellatreche,NC
2,conference,Energy Efficiency vs. Performance of Analytical Queries: The case of Bitmap Join Indexes.,2021,IEEE BigData,Issam Ghabri | Ladjel Bellatreche | Sadok Ben Yahia,B
2,conference,Towards an Adaptive Multidimensional Partitioning for Accelerating Spark SQL.,2021,DaWaK,Soumia Benkrid | Ladjel Bellatreche | Yacine Mestoui | Carlos Ordonez 0001,B
2,conference,Selecting Subexpressions to Materialize for Dynamic Large-Scale Workloads.,2021,DaWaK,Mustapha Chaba Mouna | Ladjel Bellatreche | Boustia Narhimene,B
2,conference,On Designing and Implementing Agro-ecology IoT Applications: Issues from Applied Research Projects.,2021,EDOC Workshops,Sandro Bimonte | Amina Belhassena | Christophe Cariou | Jean Laneurit | Rim Moussa | Gérard Chalhoub | Robert Wrembel | Gauthier Picard | Ladjel Bellatreche | Alexandre Journaux | Thierry Heirman | Ali Hassan 0001 | Stefano Rizzi | Jean-Pierre Georgé,B
2,conference,Bringing Common Subexpression Problem from the Dark to Light: Towards Large-Scale Workload Optimizations.,2021,IDEAS,Mohamed Kechar | Ladjel Bellatreche | Safia Nait Bahloul,C
8,journal,HiBenchLLM: Historical Inquiry Benchmarking for Large Language Models.,2025,Data Knowl. Eng.,Mathieu Chartier | Nabil Dakkoune | Guillaume Bourgeois | Stéphane Jean,NC
