author_id,type,titre,annee,venue_raw,auteurs,rank,SJR Best Quartile,SJR,quartile
18,journal,Buffer dimensioning per frames in packet networks.,2025,Real Time Syst.,Richard Garreau | Frédéric Ridouard | Henri Bauer | Pascal Richard,NC,Q2,"0,491",Q2
18,conference,Global Versus Local Schedulability Analysis of a Two-Level Hierarchical System.,2025,ISORC,Luc Descharmes | Henri Bauer | Frédéric Ridouard | Annie Choquet-Geniet,C,,0,NC
18,conference,Configuring the IEEE 802.1Q Time-Aware Shaper with Deep Reinforcement Learning.,2024,NOMS,Adrien Roberty | Quentin Besnard | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,B,,0,NC
18,conference,Reinforcement Learning for Time-Aware Shaping (IEEE 802.1Qbv) in Time-Sensitive Networks.,2023,ETFA,Adrien Roberty | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,TBR,,0,NC
18,conference,Link Between Real-Time Scheduling and Time-Triggered Networks.,2023,RTSS,Richard Garreau | Matheus Ladeira | Emmanuel Grolleau | Henri Bauer | Frédéric Ridouard | Pascal Richard,A*,,0,NC
1,conference,Towards Automating RDF Extraction for Archaeological Knowledge Graphs with LLMs.,2025,DEXA (1),Ali Hariri | Stéphane Jean | Mickaël Baron,C,,0,NC
1,conference,Clustering Under Radius Constraints Using Minimum Dominating Sets.,2024,ISMIS,Quentin Haenn | Brice Chardin | Mickaël Baron,C,,0,NC
1,conference,Knowledge Graphs for Data Integration in Retail.,2024,ISMIS,Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C,,0,NC
1,conference,Thesaurus-Based Transformation: A Classification Method for Real Dirty Data.,2023,ADBIS (Short Papers),Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C,,0,NC
1,journal,A cooperative treatment of the plethoric answers problem in RDF.,2022,Knowl. Inf. Syst.,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,NC,Q2,"0,827",Q2
1,conference,Trust Model Recommendation Driven by Application Requirements.,2022,RCIS,Chayma Sellami | Mickaël Baron | Stéphane Jean | Mounir Bechchi | Allel Hadjali | Dominique Chabot,B,,0,NC
1,conference,Dealing with Plethoric Answers of SPARQL Queries.,2021,DEXA (1),Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,C,,0,NC
1,conference,Towards a Unified Framework for Computational Trust and Reputation Models for e-Commerce Applications.,2021,RCIS,Chayma Sellami | Mickaël Baron | Mounir Bechchi | Allel Hadjali | Stéphane Jean | Dominique Chabot,B,,0,NC
12,conference,An unfair optimal scheduling algorithm for uniform multiprocessors.,2025,ETFA,Thomas Gaspard | Antoine Bertout | Pascal Richard | Joël Goossens | Emmanuel Grolleau,TBR,,0,NC
12,conference,Fault Current Limitation Constraint for the Distribution Network Reconfiguration Problem in Medium Voltage Compensated Distribution Networks.,2024,ISGT,Aghyles Graine | Nour Karnib | Jean-Paul Gaubert | Antoine Bertout | Emmanuel Grolleau | Didier Larraillet,none,,0,NC
12,conference,A Dynamic Approach for the Distribution Network Reconfiguration Problem.,2024,ISGT,Aghyles Graine | Nour Karnib | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert | Didier Larraillet,none,,0,NC
12,conference,Distributed Generation Curtailment for Maintaining Voltage Stability.,2024,ISGT Asia,Nour Karnib | Aghyles Graine | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert,none,,0,NC
12,journal,Easing the tuning of drone autopilots through a model-based framework.,2023,J. Comput. Lang.,Soulimane Kamni | Antoine Bertout | Emmanuel Grolleau | Gautier Hattenberger | Yassine Ouhammou,NC,Q3,"0,426",Q3
12,conference,A Mixed Integer Linear Programming Model for the Distribution Network Reconfiguration Problem.,2023,ICSC,Aghyles Graine | Nour Karnib | Jean-Paul Gaubert | Antoine Bertout | Emmanuel Grolleau | Didier Larraillet,none,,0,NC
12,conference,A Network Reduction Method for the Distribution Network Reconfiguration Problem.,2023,ISGT EUROPE,Aghyles Graine | Nour Karnib | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert | Didier Larraillet,none,,0,NC
12,journal,Workload assignment for global real-time scheduling on unrelated clustered platforms.,2022,Real Time Syst.,Antoine Bertout | Joël Goossens | Emmanuel Grolleau | Roy Jamil | Xavier Poczekajlo,NC,Q2,"0,491",Q2
12,conference,Latency analysis of self-suspending task chains.,2022,DATE,Tomasz Kloda | Jiyang Chen | Antoine Bertout | Lui Sha | Marco Caccamo,B,,0,NC
12,conference,A Reverse Design Framework for Modifiable-off-the-Shelf Embedded Systems: Application to Open-Source Autopilots.,2022,MEDI,Soulimane Kamni | Yassine Ouhammou | Emmanuel Grolleau | Antoine Bertout | Gautier Hattenberger,C,,0,NC
3,journal,A temporal dependency preserving approach for anomaly detection on multivariate time series.,2025,World Wide Web (WWW),Seif-Eddine Benkabou | Khalid Benabdeslem | Dou El Kefel Mansouri | Souleyman Chaib | Amin Mesmoudi | Allel Hadjali,NC,Q1,"0,876",Q1
3,journal,Bridging machine learning and query optimization: Feedback-driven selectivity estimation for spatial filters.,2025,World Wide Web (WWW),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Ahmed Youcef Benhalima,NC,Q1,"0,876",Q1
3,journal,mFILS: Tri-Selection via Convex and Nonconvex Regularizations.,2024,IEEE Trans. Neural Networks Learn. Syst.,Dou El Kefel Mansouri | Khalid Benabdeslem | Seif-Eddine Benkabou | Souleyman Chaib | Mohamed Chohri,NC,Q1,"3,686",Q1
3,conference,Selectivity Estimation for Spatial Filters Using Optimizer Feedback: A Machine Learning Perspective.,2024,WISE (4),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali,B,,0,NC
3,journal,SRDF_QDAG: An efficient end-to-end RDF data management when graph exploration meets spatial processing.,2023,Comput. Sci. Inf. Syst.,Houssameddine Yousfi | Amin Mesmoudi | Allel Hadjali | Houcine Matallah | Seif-Eddine Benkabou,NC,Q2,"0,401",Q2
3,journal,CoSP: co-selection pick for a global explainability of black box machine learning models.,2023,World Wide Web (WWW),Dou El Kefel Mansouri | Seif-Eddine Benkabou | Khoula Meddahi | Allel Hadjali | Amin Mesmoudi | Khalid Benabdeslem | Souleyman Chaib,NC,Q1,"0,876",Q1
3,conference,RSMS: Robust Semi-supervised Multi-label Feature Selection for Regression.,2023,ICTAI,Vivien Kraus | Khalid Benabdeslem | Seif-Eddine Benkabou | Dou El Kefel Mansouri | Bruno Canitia,B,,0,NC
3,conference,Adaptive Patch Labeling and Multi-Label Feature Selection for 360-Degree Image Quality Assessment.,2023,MMSP,Abderrezzaq Sendjasni | Mohamed-Chaker Larabi | Seif-Eddine Benkabou,C,,0,NC
3,journal,Local Anomaly Detection for Multivariate Time Series by Temporal Dependency Based on Poisson Model.,2022,IEEE Trans. Neural Networks Learn. Syst.,Seif-Eddine Benkabou | Khalid Benabdeslem | Vivien Kraus | Kilian Bourhis | Bruno Canitia,NC,Q1,"3,686",Q1
3,conference,Towards a Co-selection Approach for a Global Explainability of Black Box Machine Learning Models.,2022,WISE,Khoula Meddahi | Seif-Eddine Benkabou | Allel Hadjali | Amin Mesmoudi | Dou El Kefel Mansouri | Khalid Benabdeslem | Souleyman Chaib,B,,0,NC
